4.843  2.857  0.000
3.251  3.754  0.338
6.414  0.134  0.048
3.274  5.604  0.034
0.146  0.138  0.081
0.169  5.564  0.087
3.250  3.754  0.338
7.968  1.055  0.392
4.849  6.476  0.376
9.544  3.749  0.407
1.706  6.488  0.404
5.627  3.302  0.225
4.047  3.306  0.001
2.490  3.301  0.205
4.061  6.040  0.239
5.626  6.021  0.242
6.406  4.656  0.231
7.196  3.299  0.244
7.975  1.954  0.252
7.197  6.011  0.247
8.763  3.300  0.258
6.405  1.956  0.059
4.843  4.667  0.030
1.710  4.659  0.054
7.973  4.658  0.063
1.728  4.677  0.054
